Date	Time	Artist(s)	Instruments/Details	Ticketed	Sabha	Hall
19-Dec-2025	6:30 PM	Rithvik Raja		Ticketed	Mudhra	Mudhra
20-Dec-2025	9:00 AM	Rithvik Raja		Free	The Music Academy Madras	Main Hall
22-Dec-2025	3:00 PM	Rithvik Raja		Ticketed	Beachville Coffee Roasters	Beachville Coffee Roasters
24-Dec-2025	10:00 AM	Rithvik Raja		Free	Sri Parthasarathy Swami Sabha	Vidya Bharathi
26-Dec-2025	4:00 PM	Rithvik Raja		Ticketed	The Mylapore Fine Arts Club	The Mylapore Fine Arts Club
27-Dec-2025	7:00 PM	Rithvik Raja		Free	Maha Periyava Temple	Maha Periyava Temple
29-Dec-2025	7:00 PM	Rithvik Raja		Ticketed	Narada Gana Sabha	Narada Gana Sabha
31-Dec-2025	6:00 PM	Rithvik Raja		Ticketed	Kutty Kutcheri Festival	Medai
15-Dec-2025	4:00 PM	P G Kallidoss		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
15-Dec-2025	6:30 PM	Malladi Suribabu		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
16-Dec-2025	4:00 PM	K P Nandini		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
16-Dec-2025	6:30 PM	Abhishek Raghuram		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
17-Dec-2025	4:00 PM	Vidya Kalyanaraman		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
17-Dec-2025	6:30 PM	R K Shriramkumar		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
18-Dec-2025	4:00 PM	Anahita Apoorva		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
18-Dec-2025	6:30 PM	A S Murali		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
19-Dec-2025	10:00 AM	Dushyanth Sridhar		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
19-Dec-2025	4:00 PM	D B Ashwin		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
19-Dec-2025	6:30 PM	Sikkil Gurucharan		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
20-Dec-2025	10:00 AM	Dr. Gayathri Girish		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
20-Dec-2025	4:00 PM	Dr. Baby Sreeram		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
20-Dec-2025	6:30 PM	Sruti Sagar		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
21-Dec-2025	10:00 AM	Sivasri Skandaraprasad		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
21-Dec-2025	4:00 PM	Aravind Soundararajan		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
21-Dec-2025	6:30 PM	Charumathi Raghuraman		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
22-Dec-2025	4:00 PM	Sangeetha Swaminathan		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
22-Dec-2025	6:30 PM	Sriranjani Tapasya		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
23-Dec-2025	4:00 PM	Kruthi Vittal		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
23-Dec-2025	6:30 PM	K Gayatri		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
24-Dec-2025	4:00 PM	N J Nandini		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
24-Dec-2025	6:30 PM	Amritha Murali		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
25-Dec-2025	4:00 PM	Flute J A Jayant		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
25-Dec-2025	6:30 PM	Amrutha Venkatesh		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
26-Dec-2025	10:00 AM	Dr. S Karthick		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
26-Dec-2025	4:00 PM	Vignesh Ishwar		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
26-Dec-2025	6:30 PM	Kunnakudi Balasubramaniam		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
27-Dec-2025	10:00 AM	Senkottai Harihara Subramania Bhagavatar		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
27-Dec-2025	4:00 PM	Ashwath Narayanan		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
27-Dec-2025	6:30 PM	Ramakrishnan Murthy		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
28-Dec-2025	10:00 AM	Madhusudhanan Kalalechelvan		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
28-Dec-2025	4:00 PM	Vishnuved K S		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
28-Dec-2025	6:30 PM	Dr. Jayanthi Kumaresh		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
29-Dec-2025	4:00 PM	Ananya Ashok		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
29-Dec-2025	6:30 PM	K Bharat Sundar		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
30-Dec-2025	4:00 PM	Bhadracala Ramadas		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
30-Dec-2025	6:30 PM	Akkarai Sisters		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
31-Dec-2025	4:00 PM	R K Shriramkumar		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
31-Dec-2025	6:30 PM	Nisha Rajagopalan		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
19-Dec-2025	4:30 PM	Vidya Kalyanaraman		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
19-Dec-2025	6:45 PM	Dr. Udayalur Kalyanaraman Bhagavathar		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
20-Dec-2025	4:30 PM	Dr. Nanditha Ravi		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
20-Dec-2025	6:45 PM	Delhi P. Sunder Rajan		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
21-Dec-2025	4:30 PM	Sruthi Sagar		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
21-Dec-2025	6:45 PM	Iyer Brothers (Ramnath & Gopinath Iyer)		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
22-Dec-2025	4:30 PM	Sowmya Acharya		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
22-Dec-2025	6:45 PM	Malladi Suribabu		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
23-Dec-2025	4:30 PM	Dharini Kalyanaraman		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
23-Dec-2025	6:45 PM	Mysore Manjunath & Sumanth Manjunath		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
24-Dec-2025	4:30 PM	Srirangam Venkatanagarajan		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
24-Dec-2025	6:45 PM	B.V. Balasai		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
25-Dec-2025	4:30 PM	Vasudha Ravi & Savita Sreeram		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
25-Dec-2025	6:45 PM	Rajhesh Vaidhya		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
26-Dec-2025	4:30 PM	Yaso Ponnuthurai		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
26-Dec-2025	6:45 PM	Vittal Ramamurthy & V.V.S. Murari		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
27-Dec-2025	4:30 PM	Dr. Sanjay Subramanian		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
27-Dec-2025	6:45 PM	Hyderabad Brothers � Raghavachari		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
28-Dec-2025	4:30 PM	Krithika Natarajan		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
28-Dec-2025	6:45 PM	Dr. N.J. Nandini		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
29-Dec-2025	4:30 PM	Archana & Aarathi		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
29-Dec-2025	6:45 PM	Dr. R.S. Jayalakshmi		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
30-Dec-2025	4:30 PM	Aishwarya Shankar		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
30-Dec-2025	6:45 PM	Dr. R.K. Padmanabha		Free	Samskriti (Parthasarathy Swami Sabha)	Madras Sanskrit Collete
02-Jan-2026	6:30 PM	Vid. Sudha Ragunathan	Vocal	Free	Narada Gana Sabha	Narada Gana Sabha
03-Jan-2026	4:00 PM	Anil Srinivasan	Instrumental	Ticketed	Narada Gana Sabha	Narada Gana Sabha
03-Jan-2026	6:30 PM	Vid. Ranjani�Gayatri	Vocal	Ticketed	Narada Gana Sabha	Narada Gana Sabha
04-Jan-2026	6:00 PM	Choreography by Rukmini Devi Arundale	Dance Drama	Ticketed	Narada Gana Sabha	Narada Gana Sabha
05-Jan-2026	4:00 PM	Dr. A. Kanyakumari	Instrumental	Ticketed	Narada Gana Sabha	Narada Gana Sabha
05-Jan-2026	7:00 PM	Anitha Guha	Dance	Ticketed	Narada Gana Sabha	Narada Gana Sabha
13-Dec-2025	6:15 PM	Vignesh Ishwar		Ticketed	Naada Inbam	Raga Sudha Hall
17-Dec-2025	6:30 PM	Vignesh Ishwar		Ticketed	Brahma Gana Sabha	RR Sabha Hall, Mylapore
19-Dec-2025	4:00 PM	Vignesh Ishwar		Ticketed	Narada Gana Sabha	Narada Gana Sabha
22-Dec-2025	4:00 PM	Vignesh Ishwar		Ticketed	The Mylapore Fine Arts Club	The Mylapore Fine Arts Club
23-Dec-2025	8:00 AM	Vignesh Ishwar		Free	The Music Academy Madras	Main Hall
23-Dec-2025	4:00 PM	Vignesh Ishwar		Ticketed	Sri Parthasarathy Swami Sabha	Vidya Bharathi
24-Dec-2025	2:00 PM	Vignesh Ishwar		Ticketed	SoulFest 25	ACJ Taramani, M. S. Subbulakshmi Arangam
27-Dec-2025	3:00 PM	Vignesh Ishwar		Ticketed	Beachville Coffee Roasters	Beachville Coffee Roasters
28-Dec-2025	6:30 PM	Vignesh Ishwar		Ticketed	Maarga	Maarga
29-Dec-2025	4:00 PM	Vignesh Ishwar		Ticketed	The Music Academy Madras	Main Hall
30-Dec-2025	6:30 PM	Vignesh Ishwar		Ticketed	Krishna Gana Sabha	Main Hall
14-Dec-2025	6:30 PM	Ranjani Gayatri		Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
21-Dec-2025	4:00 PM	Ranjani Gayatri		Ticketed	Krishna Gana Sabha	Main Hall
25-Dec-2025	6:00 PM	Ranjani Gayatri		Ticketed	Narada Gana Sabha	Narada Gana Sabha
28-Dec-2025	6:00 PM	Ranjani Gayatri		Ticketed	Brahma Gana Sabha	RR Sabha Hall, Mylapore
03-Jan-2026	6:30 PM	Ranjani Gayatri		Ticketed	Parthasarathy Swami Sabha, Narada Gana Sabha Hall	Parthasarathy Swami Sabha, Narada Gana Sabha Hall
10-Jan-2026	6:30 PM	Ranjani Gayatri		Ticketed	Sastra Satsangh, Vadapalani	Sastra Satsangh, Vadapalani
14-Jan-2026	4:00 PM	Ranjani Gayatri		Ticketed	ABBAS Kalai Vizha	Kamarajar Arangam
15-Dec-2025	6:15 PM	Sriranjani Santhanagopalan		Ticketed	Brahma Gana Sabha	TAG Dakshinamurthy Hall, Mylapore
18-Dec-2025	5:00 PM	Sriranjani Santhanagopalan		Ticketed	Karthik Fine Arts	Bharatiya Vidya Bhavan, Mylapore
22-Dec-2025	6:30 PM	Sriranjani Santhanagopalan		Free	Charsur Arts Foundation	Sri Ramanujar Millennium Hall, Mylapore
23-Dec-2025	4:00 PM	Sriranjani Santhanagopalan		Ticketed	The Music Academy Madras	Main Hall
27-Dec-2025	4:00 PM	Sriranjani Santhanagopalan		Ticketed	Sri Parthasarathy Swami Sabha	Vidya Bharathi
28-Dec-2025	5:30 PM	Sriranjani Santhanagopalan		Ticketed	Ragarekha	CP Art Centre
29-Dec-2025	4:00 PM	Sriranjani Santhanagopalan		Ticketed	Krishna Gana Sabha	Main Hall
31-Dec-2025	4:00 PM	Sriranjani Santhanagopalan		Ticketed	Narada Gana Sabha	Narada Gana Sabha
19-Dec-2025	6:00 PM	Sita Swayamvaram (Dance Drama)	Dance Drama	Ticketed	Kalakshetra	Bharata Kalakshetra Auditorium
20-Dec-2025	6:00 PM	Rama Vanagamanam (Dance Drama)	Dance Drama	Ticketed	Kalakshetra	Bharata Kalakshetra Auditorium
21-Dec-2025	6:00 PM	Paduka Pattabhishekam (Dance Drama)	Dance Drama	Ticketed	Kalakshetra	Bharata Kalakshetra Auditorium
22-Dec-2025	6:00 PM	Pt. Ulhas Kashalkar	Hindustani Vocal	Ticketed	Kalakshetra	Bharata Kalakshetra Auditorium
23-Dec-2025	6:00 PM	Pallavi Krishnan	Mohiniattam	Ticketed	Kalakshetra	Bharata Kalakshetra Auditorium
23-Dec-2025	7:30 PM	Parshwanath Upadhye and team	Abha	Ticketed	Kalakshetra	Bharata Kalakshetra Auditorium
24-Dec-2025	6:00 PM	Putran: The Rising Son	Dance	Ticketed	Kalakshetra	Bharata Kalakshetra Auditorium
25-Dec-2025	6:00 PM	Ganesh Kumaresh	Violin Duet Concert	Ticketed	Kalakshetra	Bharata Kalakshetra Auditorium
26-Dec-2025	6:00 PM	Sabari Moksham (Dance Drama)	Dance Drama	Ticketed	Kalakshetra	Bharata Kalakshetra Auditorium
27-Dec-2025	6:00 PM	Choodamani Pradhanam (Dance Drama)	Dance Drama	Ticketed	Kalakshetra	Bharata Kalakshetra Auditorium
28-Dec-2025	6:00 PM	Maha Pattabhishekam (Dance Drama)	Dance Drama	Ticketed	Kalakshetra	Bharata Kalakshetra Auditorium
23-Dec-2025	1:20 PM	Sowmya Acharya		Free	Gayatri Fine Arts Global	Sri Krishna Saras Hall, Mylapore
26-Dec-2025	9:00 AM	Sowmya Acharya		Free	Paddathi (Parthasarathi Swami Sabha & Carnatica)	Desiga Vidya Bhavanam, 27, Venkatesa Agraharam Road, Mylapore, Chennai - 600004
27-Dec-2025	5:00 PM	Sowmya Acharya		Free	SciArt Services & Korattur Cultural Academy, Dr. Nalli Vivekananda Vidyalaya, Korattur	SciArt Services & Korattur Cultural Academy, Dr. Nalli Vivekananda Vidyalaya, Korattur
29-Dec-2025	12:30 PM	Sowmya Acharya		Free	TTV Trust	Tattvaloka Auditorium, Teynampet
01-Jan-2026	6:00 PM	Sowmya Acharya		Free	Brahma Gana Sabha	RR Sabha Hall, Mylapore
13-Dec-2025	6:30 PM	Sanjay Subramanian	Vocal; Vani Kala Sudhakara S.Varadarajan (Violin); Vani Kala Sudhakara Neyveli Venkatesh (Mrudangam); S. Venkataramanan (Kanjira)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
14-Dec-2025	6:30 PM	Ranjani & Gayathri	Vocal; Vani Kala Nipuna L. Ramakrishnan (Violin); Delhi S Sairam (Mrudangam); G.Chandrasekar Sharma (Ghatam)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
15-Dec-2025	6:30 PM	Lalgudi G.J.R.Krishnan & Lalgudi Vijayalakshmi	Violin Duet; R. Sankaranarayanan (Mrudangam); Sunil Kumar S (Kanjira)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
16-Dec-2025	6:30 PM	Sikkil C. Gurucharan	Vocal; V. Sanjeev (Violin); Padma Vibhushan Umayalpuram Dr.K.Sivaraman (Mrudangam); B.S.Purushotham (Kanjira)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
17-Dec-2025	6:30 PM	S.Saketharaman	Vocal; H.N.Bhaskar (Violin); Vani Kala Nipuna N.C.Bharadwaj (Mrudangam); Dr. S Karthick (Ghatam)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
18-Dec-2025	6:30 PM	Sangeetha Bhakthi Samarpanam	Vocal Concert; Vani Kala Sudhakara S.Varadarajan (Violin); Patri Satish Kumar (Mrudangam); K.V.Gopalakrishnan (Kanjira)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
19-Dec-2025	6:30 PM	Trichur Brothers Srikrishna Mohan & Ramkumar Mohan	Vocal; Sayee Rakshith (Violin); Vijay Natesan (Mrudangam); Nerkunam Dr. S.Sankar (Kanjira)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
20-Dec-2025	6:30 PM	S Mahathi	Vocal; Kamalakiran Vinjamuri (Violin); Delhi S Sairam (Mrudangam); Sunil Kumar S (Kanjira)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
21-Dec-2025	6:30 PM	Dr. Jayanthi Kumaresh & R. Kumaresh	Strings Attached Concert; K Jayachandra Rao (Mrudangam); Pramath Kiran (Tabla & Morsing)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
22-Dec-2025	6:30 PM	Kunnakkudi M Balamuralikrishna	Vocal; Vani Kala Nipuna L.Ramakrishnan (Violin); Shertalai R.Ananthakrishnan (Mrudangam); B. Shree Sundarkumar (Kanjira)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
23-Dec-2025	6:30 PM	Rajhesh Vaidhya & U Rajesh	Veena & Mandolin; Thanjavur T.R.Govindarajan (Thavil); Swaminathan Selvaganesh (Kanjira); Praveen Narayanan (Tabla)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
24-Dec-2025	6:30 PM	K. Bharat Sundar	Vocal; Vani Kala Nipuna Vittal Rangan (Violin); Sumesh Narayanan (Mrudangam); Dr. S Karthick (Ghatam)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
25-Dec-2025	6:30 PM	Malladi Brothers Sreeram Prasad & Dr.Ravikumar	Vocal; Sayee Rakshith (Violin); Vani Kala Sudhakara K.V.Prasad (Mrudangam); T. Rajaganesh (Kanjira)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
26-Dec-2025	6:30 PM	Sandeep Narayan	Vocal; Rajeev Mukundan (Violin); Padma Vibhushan Umayalpuram Dr.K Sivaraman (Mrudangam); B.Shree Sundarkumar (Kanjira)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
27-Dec-2025	6:30 PM	Gayathri Venkataraghavan	Vocal; Mysore V Srikanth (Violin); B. Sivaraman (Mrudangam); Trichy S Krishnaswamy (Ghatam)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
28-Dec-2025	6:30 PM	Akkarai Sisters S. Subhalakshmi and S. Sornalatha	Violin Duet Concert; Tanjore T.R.Govindarajan (Violin), Bangalore Arjun Kumar (Mrudangam), N. Guruprasad (Ghatam)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
29-Dec-2025	6:30 PM	J.A.Jayanth	Flute Concert; Vittal Ramamurthy (Violin), Vani Kala Sudhakara Srimushnam V Raja Rao (Mrudangam), K.V.Gopalakrishnan (Kanjira)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
30-Dec-2025	6:30 PM	Vishaka Hari	Sangeetha Upanyasam on 'ARANGAN ARUL'; C.S.Chinmayi (Violin), Vijay Natesan (Mrudangam), Trichy S Krishnaswamy (Ghatam)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
31-Dec-2025	6:30 PM	Ramakrishnan Murthy	Vocal Concert; Vani Kala Nipuna L. Ramakrishnan (Violin), Vani Kala Nipuna N.C.Bharadwaj (Mrudangam), Vazhappally R. Krishnakumar (Ghatam)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
01-Jan-2026	6:30 PM	Students of Sridevi Nrithyalaya	SIVA NAVA BHAKTHI'; Concept & Screenplay Vani Kala Nipuna Smt. Shobha Korambil, Lyrics - Dr S Raghuram, Music - Vani Kala Sudhakara Sri Embar S Kannan, Choreography - Vani Kala Sudhakara Dr.Sheela Unnikrishnan	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
02-Jan-2026	6:30 PM	Vani Kala Sudhakara Srekala Bharath & Thejas	UTHAMA DEIVANGAL' a thematic group Bharatanatyam feature on Jai Santoshi Maa Shirdi Saibaba & Swami Ayyappan	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
03-Jan-2026	6:30 PM	Student of Sri Sai Nrithyalaya / Vani Kala Nipuna Smt. H N Nandhini Suresh	RAMAM MANOHARAM MANOHARAM RAMAM PART 2' (based on ramayanam)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
04-Jan-2026	6:30 PM	Vani Kala Sudhakara Dr. Srinidhi Chidambaram	Thematic margam 'DAASARATHI'	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
05-Jan-2026	6:30 PM	Roja Kannan's Bharatha Natyalaya	THEERA VINAI THEERKUM THIRUCHENDUR' - a thematic group production	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
06-Jan-2026	6:30 PM	Disciples of Dr.S.Divyasena	PALLANDU PALLANDU' a unique dance presentation; Music Composed by T.H.Thiyagarajan and K. Ganesan, Concept, Direction and Dance Choreographed by - Dr. S. Divyasena	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
07-Jan-2026	7:00 PM	Anithaguha's Bharathanjali	MAHADEVAM MAHASENAM BHAJE'; Lyrics & Music Dr PR Venkatasubramian, Concept & Choreography: Vani Kala Sudhakara Smt. Anitha Guha	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
08-Jan-2026	6:30 PM	Saila Sudha Academy / Disciples of Vani Kala Sudhakara S.P.Sailaja	Group Bharathanatyam 'SIVA DRUHSTI'	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
09-Jan-2026	6:30 PM	United Visuals / Vani Kala Sudhakara 'TV' Varadharajen	SANGEETHA MUMMOORTHIGAL'; Concept: VSV, Dialogues: C.V.Chandramohan & TV Varadharajen, Music: 'Padmashri Awardee' Bombay Jayashri Ramnath	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
10-Jan-2026	6:30 PM	Komal Theatre / Dharini Komal	DRAUPATHI' - A Mega historical play; Script & Direction - Dharini Komal	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
11-Jan-2026	6:30 PM	Stage Creations / Vani Kala Sudhakara Sri Kathadi Ramamoorthy	YAATHIRAI' by Vani Kala Sudhakara Sreevathson	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
12-Jan-2026	6:30 PM	Crazy creations / Maadhu balaji and his Crazy team	CRAZY PREMIER LEAGUE' by Vani Kala Sudhakara Crazy mohan (Best scenes from Crazy Mohan s plays)	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
13-Jan-2026	6:30 PM	Mali's Stage / Vani Kala Sudhakara Kudanthai Sri Mali	KANNAN VANDHA NERAM' -Based on Belief and attitude	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
14-Jan-2026	6:30 PM	Kalaasindhu School of Performing Arts, Sindhu Shyam and Disciples	BHAVAYAMI RAGHURAMAM' (Swathi Tirunal Krithi); Choreography: Dr.Sasirekha Raammohan	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
15-Jan-2026	6:30 PM	Renjith_Vijna and ensemble	VRAJAM BHAJE' reminiscing vrindavan	Ticketed	Thyaga Brahma Gana Sabha	Vani Mahal, T Nagar
16-Dec-2025	6:45 PM	Chitravina N. Ravikiran & S. Shashank	Chitravina & Flute Duet - Patri Satish Kumar (Mridangam) - B. Shree Sundar Kumar (Kanjira)	Ticketed	Sri Parthasarathy Swami Sabha	Vidya Bharathi
17-Dec-2025	8:30 AM	Dr. Sriram Parasuram	"Lect. Demo. ""Understanding Rare Ragas of Dikshitar from his Kritis"""	Free	Sri Parthasarathy Swami Sabha	Vidya Bharathi
17-Dec-2025	10:00 AM	Sunil R. Gargyan	Vocal - H.N. Bhaskar (Violin) - Sai Raghavan (Mridangam) - Chandrashekara Sharma (Ghatam)	Free	Sri Parthasarathy Swami Sabha	Vidya Bharathi
17-Dec-2025	12:30 PM	Madhuri Kaushik	Vocal - Krithik Kowshik (Violin) - Nandan Kashyap (Mridangam)	Free	Sri Parthasarathy Swami Sabha	Vidya Bharathi
17-Dec-2025	2:00 PM	Vivek Moozhikulam	Vocal - Vignesh Thyagarajan (Violin) - Burra Sriram (Mridangam) - Sowmya Narayanan (Ghatam)	Free	Sri Parthasarathy Swami Sabha	Vidya Bharathi
17-Dec-2025	4:00 PM	Cherthala Dr. K.N. Renganatha Sharma	Vocal - Embar S. Kannan (Violin) - Tanjavur Murugabhoopathi (Mridangam) - H. Sivaramakrishnan (Ghatam)	Ticketed	Sri Parthasarathy Swami Sabha	Vidya Bharathi
17-Dec-2025	6:30 PM	Priya Sisters (Shanmukhapriya & Haripriya)	Vocal - B. Ananthakrishnan (Violin) - V.V. Ramanamurthy (Mridangam) - B.S. Purushotham (Kanjira)	Ticketed	Sri Parthasarathy Swami Sabha	Vidya Bharathi
18-Dec-2025	8:30 AM	Vid. Rama Ravi & Vid. Suguna Varadachary	"Lect. Demo. ""The Effective use of Kalapramanam in Musical Expressions"" - Supported by Dr. Nanditha Ravi & Aishwarya Shankar"	Free	Sri Parthasarathy Swami Sabha	Vidya Bharathi
18-Dec-2025	10:00 AM	Jayashree Vaidyanathan	Vocal - Thirumarugal Dinesh (Violin) - Mannikudi Chandrasekar (Mridangam) - H. Sivaramakrishnan (Ghatam)	Free	Sri Parthasarathy Swami Sabha	Vidya Bharathi
18-Dec-2025	12:30 PM	Abhishek Ravishankar	Vocal - M. Siva Teja (Violin) - Suriya Nambisan (Mridangam) - G. Ganapathy (Ghatam)	Free	Sri Parthasarathy Swami Sabha	Vidya Bharathi
18-Dec-2025	2:00 PM	Abilash Giriprasad	Vocal - Keerthana Sankar (Violin) - B.S. Prashanth (Mridangam) - M. Phanindra (Ghatam)	Free	Sri Parthasarathy Swami Sabha	Vidya Bharathi
18-Dec-2025	4:00 PM	Prince Rama Varma	Vocal - Avaneeswaram Vinu (Violin) - B. Harikumar (Mridangam) - Dr. S. Karthick (Ghatam)	Ticketed	Sri Parthasarathy Swami Sabha	Vidya Bharathi
18-Dec-2025	6:30 PM	Dr. Pantula Rama	Vocal - MSN Murthy (Violin) - Kotipalli Ramesh (Mridangam) - Harish Chandra (Kanjira)	Ticketed	Sri Parthasarathy Swami Sabha	Vidya Bharathi
