Date,Time,Artist(s),Instruments/Details,Venue
2025-12-10,18:30,Sriranjani Tapasya Santhanagopalan,"Vocal; Vani Kala Nipuna Vittal Rangan (Violin); Vani Kala Nipuna N.C.Bharadwaj (Mrudangam); G. Chandrasekar Sharma (Ghatam)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-11,18:30,Vijay Siva N,"Vocal; Vani Kala Sudhakara R.K.Shriramkumar (Violin); Vani Kala Sudhakara Dr.Trichy Sankaran (Mrudangam); G.Chandrasekar Sharma (Ghatam)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-12,18:30,Abhishek Raghuram,"Vocal; Vani Kala Nipuna L.Ramakrishnan (Violin); Vani Kala Sudhakara Neyveli Narayanan (Mrudangam); G.Chandrasekar Sharma (Ghatam)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-13,18:30,Sanjay Subramanian,"Vocal; Vani Kala Sudhakara S.Varadarajan (Violin); Vani Kala Sudhakara Neyveli Venkatesh (Mrudangam); S. Venkataramanan (Kanjira)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-14,18:30,Ranjani & Gayathri,"Vocal; Vani Kala Nipuna L. Ramakrishnan (Violin); Delhi S Sairam (Mrudangam); G.Chandrasekar Sharma (Ghatam)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-15,18:30,Lalgudi G.J.R.Krishnan & Lalgudi Vijayalakshmi,"Violin Duet; R. Sankaranarayanan (Mrudangam); Sunil Kumar S (Kanjira)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-16,18:30,Sikkil C. Gurucharan,"Vocal; V. Sanjeev (Violin); Padma Vibhushan Umayalpuram Dr.K.Sivaraman (Mrudangam); B.S.Purushotham (Kanjira)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-17,18:30,S.Saketharaman,"Vocal; H.N.Bhaskar (Violin); Vani Kala Nipuna N.C.Bharadwaj (Mrudangam); Dr. S Karthick (Ghatam)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-18,18:30,Sangeetha Bhakthi Samarpanam,"Vocal Concert; Vani Kala Sudhakara S.Varadarajan (Violin); Patri Satish Kumar (Mrudangam); K.V.Gopalakrishnan (Kanjira)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-19,18:30,Trichur Brothers Srikrishna Mohan & Ramkumar Mohan,"Vocal; Sayee Rakshith (Violin); Vijay Natesan (Mrudangam); Nerkunam Dr. S.Sankar (Kanjira)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-20,18:30,S Mahathi,"Vocal; Kamalakiran Vinjamuri (Violin); Delhi S Sairam (Mrudangam); Sunil Kumar S (Kanjira)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-21,18:30,Dr. Jayanthi Kumaresh & R. Kumaresh,"Strings Attached Concert; K Jayachandra Rao (Mrudangam); Pramath Kiran (Tabla & Morsing)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-22,18:30,Kunnakkudi M Balamuralikrishna,"Vocal; Vani Kala Nipuna L.Ramakrishnan (Violin); Shertalai R.Ananthakrishnan (Mrudangam); B. Shree Sundarkumar (Kanjira)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-23,18:30,Rajhesh Vaidhya & U Rajesh,"Veena & Mandolin; Thanjavur T.R.Govindarajan (Thavil); Swaminathan Selvaganesh (Kanjira); Praveen Narayanan (Tabla)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-24,18:30,K. Bharat Sundar,"Vocal; Vani Kala Nipuna Vittal Rangan (Violin); Sumesh Narayanan (Mrudangam); Dr. S Karthick (Ghatam)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-25,18:30,Malladi Brothers Sreeram Prasad & Dr.Ravikumar,"Vocal; Sayee Rakshith (Violin); Vani Kala Sudhakara K.V.Prasad (Mrudangam); T. Rajaganesh (Kanjira)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-26,18:30,Sandeep Narayan,"Vocal; Rajeev Mukundan (Violin); Padma Vibhushan Umayalpuram Dr.K Sivaraman (Mrudangam); B.Shree Sundarkumar (Kanjira)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
2025-12-27,18:30,Gayathri Venkataraghavan,"Vocal; Mysore V Srikanth (Violin); B. Sivaraman (Mrudangam); Trichy S Krishnaswamy (Ghatam)",SRI CHANDRASEKARENDRA SARASWATHI MAHASWAMI AUDITORIUM
