Date,Time,Artist(s),Instruments/Details,Venue
2025-12-29,10:00,Vanitha Suresh,,R R Sabha Hall Mylapore
2025-12-29,14:30,Jayamangala Krishnamani,,R R Sabha Hall Mylapore
2025-12-29,16:00,Ranjani Radha V,,R R Sabha Hall Mylapore
2025-12-29,18:15,Ramakrishnan Murthy,,R R Sabha Hall Mylapore
2025-12-30,10:00,Sunil Gargeyan,,R R Sabha Hall Mylapore
2025-12-30,14:30,Prithvi Harish,,R R Sabha Hall Mylapore
2025-12-30,16:00,Uma Kumar,,R R Sabha Hall Mylapore
2025-12-30,18:15,Sandeep Narayan,,R R Sabha Hall Mylapore
2025-12-31,10:00,Vinaya Karthik Rajan & Vidya Kalyanaraman,,R R Sabha Hall Mylapore
2025-12-31,14:30,Sharadul Krishnathan,,R R Sabha Hall Mylapore
2025-12-31,16:00,Sreeranjani Muthusubramanian,,R R Sabha Hall Mylapore
2025-12-31,18:15,Anil Srinivas,,R R Sabha Hall Mylapore
2026-01-01,18:15,Ravikiran,,R R Sabha Hall Mylapore
2026-01-02,18:30,Meenakshi Chitharanjan & Disciples,Dance: Guruguho Jayati,R R Sabha Hall Mylapore
2026-01-03,18:30,Madurai R Muralidharan (Nrithyakshethra),Dance: Sakuntala,R R Sabha Hall Mylapore
2026-01-04,18:30,Anitha Guha's Bharathanjali,Dance: Mahadevam Mahasenam Bhaje,R R Sabha Hall Mylapore
2026-01-05,18:30,Dr. Lakshmi Ramaswamy's Sri Mudhralaya,Dance: Shivanubhava,R R Sabha Hall Mylapore
2026-01-06,18:30,Dr. Vempati Chinna Satyam's Kuchipudi Art Academy,Dance: Ardha Nareeswaram,R R Sabha Hall Mylapore
2026-01-07,18:30,Smt. Padmini Krishnamurthy (Saraswathi Gana Nilayam),Dance: Oozh - The Divine Destiny,R R Sabha Hall Mylapore
2026-01-08,18:30,Dr. Sheela Unnikrishnan (Sridevi Nrithyalaya),Dance: Siva Nava Bhakthi,R R Sabha Hall Mylapore
