Date,Time,Artist(s),Instruments/Details,Venue
2025-12-20,16:00,"Aishwarya Vidhya Raghunath","(Vocal) - Dr. R. Hemalatha (Violin), B. C. Manjunath (Mridangam), Bhagyalakshmi M. Krishna (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-20,18:45,"K. Bharat Sundar","(Vocal) - M. Rajeev (Violin), Patri Satishkumar (Mridangam), N. Guruprasad (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-21,09:00,"Shertallay Dr. K. N. Renganatha Sharma","(Vocal) - M. A. Sundareswaran (Violin), Palladam R. Ravi (Mridangam), Tirunakkara K. R. Rethish (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-21,11:45,"Sushma Somasekharan","(Vocal) - Sreelakshmi S. Bhat (Violin), Ambur U. Padmanabhan (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-21,13:30,"J. B. Keerthana","(Vocal) - Delhi R. Sridhar (Violin), G. S. Nagaraj (Mridangam), Vishnu Kammath (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-21,16:00,"Dr. Pantula Rama","(Vocal) - M.S.N. Murthy (Violin), V. V. Ramanamurthy (Mridangam), Nerkunam Dr. S. Sankar (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-21,18:45,"Malladi Brothers - Sreeramaprasad & Dr. Ravikumar","(Vocal) - L. Ramakrishnan (Violin), Sangita Kalanidhi Trichy Sankaran (Mridangam), Chandrasekhara Sharma (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-22,09:00,"Vishaal R. Sapuram","(Chitraveena) - M. Vijay (Violin), Chidambaram S. Balashankar (Mridangam), Trivandrum D. Rajagopal (Kanjira), Bangalore B. Rajasekar (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-22,11:45,"C. S. Keshava Chandra","(Flute) - S. Subhashree (Violin), Sunaada Krishna Amai (Mridangam), Shamith S. Gowda (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-22,13:30,"Anirudh Venkatesh","(Vocal) - Chidambaram G. Badrinath (Violin), R. Ramkumar (Mridangam), G. Venkatesh (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-22,16:00,"K. Gayatri","(Vocal) - Vittal Rangan (Violin), J. Vaidhyanathan (Mridangam), Sai Subramaniam (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-22,18:45,"J. A. Jayant","(Flute) - H. M. Smitha (Violin), N. C. Bharadwaj (Mridangam), N. Guruprasad (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-23,11:45,"Kruthi Bhat","(Vocal) - N. Madan Mohan (Violin), Aduthurai G. Guruprasadh (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-23,13:30,"V. Venkatanagarajan","(Vocal) - Vignesh Thyagarajan (Violin), Tippirajapuram Hari (Mridangam), Manjesh Mohanan (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-23,16:00,"Neyveli R. Santhanagopalan","(Vocal) - Charulatha Ramanujam (Violin), Vijay B. Natesan (Mridangam), T. Rajaganesh (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-23,18:45,"Sangita Kalanidhi Lalgudi G.J.R. Krishnan & Sangita Kalanidhi Lalgudi Vijayalakshmi","(Violin Duet) - Trichy B. Harikumar (Mridangam), K. V. Gopalakrishnan (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-24,11:45,"S. Srivathsan","(Vocal) - V. Deepika (Violin), Deepikaa Sreenivasan (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-24,13:30,"Vasudha Ravi","(Vocal) - Sindhu Suchetan (Violin), Tirucherai R. Kaushik Rajagopal (Mridangam), G. Ganapathy (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-24,16:00,"B. V. Venkataraghavan","(Vocal) - V. Srikanth (Violin), Sankaranarayanan (Mridangam), S. Srikanth (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-24,18:45,"Sandeep Narayan","(Vocal) - H. N. Bhaskar (Violin), K. Sai Giridhar (Mridangam), Tripoonithura Radhakrishnan (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-25,11:45,"Sunil R. Gargyan","(Vocal) - Pappu Gyandev (Violin), B. S. Prashanth (Mridangam), Karthick Krishnaswamy (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-25,13:30,"Anahita & Apoorva","(Vocal) - K. V. Krishna (Violin), Gopal Ravindharan (Mridangam), Anil Parashara (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-25,16:00,"Vidya Kalyanaraman","(Vocal) - R. Raghul (Violin), B. Ganapathyraman (Mridangam), R. Rajesh (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-25,18:45,"Akkarai Sisters - S. Subhalakshmi & S. Sornalatha","(Violin Duet) - Delhi S. Sairam (Mridangam), B. Shree Sundarkumar (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-26,09:00,"Nirmala Rajasekar","(Veena) - Kumbakonam M. R. Gopinath (Violin), Karukurichi N. Mohanram (Mridangam), S. Hariharasubramanian (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-26,16:00,"Dr. Jayanthi Kumaresh","(Veena) - K. U. Jayachandra Rao (Mridangam), Trichy S. Krishnaswamy (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-26,18:45,"Ramakrishnan Murthy","(Vocal) - B. Vittal Rangan (Violin), N. C. Bharadwaj (Mridangam), S. Sunil Kumar (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-27,09:00,"T. S. Pattabhirama Pandit","(Vocal) - T.K.V. Ramanujacharlu (Violin), H. S. Sudhindra (Mridangam), H. Sivaramakrishnan (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-27,11:45,"Shruthi Shankar Kumar","(Vocal) - Aniruddha Bharadwaj (Violin), Srikar Chittari (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-27,13:30,"Aishwarya Shankar","(Vocal) - Shradda Ravindran (Violin), L. Subramanian (Mridangam), P. Giridara Prasad (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-27,16:00,"Amrutha Venkatesh","(Vocal) - Bombay R. Madhavan (Violin), S. J. Arjun Ganesh (Mridangam), Payyanur T. Govindaprasad (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-27,18:45,"Sangita Kalanidhi Sanjay Subrahmanyan","(Vocal) - S. Varadarajan (Violin), Neyveli B. Venkatesh (Mridangam), V. Anirudh Athreya (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-28,09:00,"Dr. R. Suryaprakash","(Vocal) - Delhi P. Sunderrajan (Violin), Melakaveri K. Balaji (Mridangam), Manjoor Unnikrishnan (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-28,11:45,"Abilash Giriprasad","(Vocal) - V. Sri Purna Gayatri Sivani (Violin), Rohith Ashok (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-28,13:30,"Vivek Sadasivam","(Vocal) - Sayee Rakshith (Violin), Kishore Ramesh (Mridangam), Dr. Ravi Balasubramanian (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-28,16:00,"Kunnakudi M. Balamuralikrishna","(Vocal) - H. N. Bhaskar (Violin), Sangita Kalanidhi Trichy Sankaran (Mridangam), K. V. Gopalakrishnan (Kanjira)","T.T. Krishnamachari Auditorium"
2025-12-28,18:45,"Sangita Kalanidhi Sudha Ragunathan","(Vocal) - Embar S. Kannan (Violin), Sumesh S. Narayanan (Mridangam), Krishna Sriram (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-29,09:00,"Delhi V. Muthukumar","(Vocal) - V. V. Ravi (Violin), Shertalai R. Ananthakrishnan (Mridangam), A. S. Krishnan (Moharsing)","T.T. Krishnamachari Auditorium"
2025-12-29,11:45,"R. Sai Vignesh","(Vocal) - Gayatri Vibhavari Vyakaranam (Violin), J. P. Suriya Nambisan (Mridangam)","T.T. Krishnamachari Auditorium"
2025-12-29,13:30,"Ashwin Anand","(Veena) - B. Sai Shankar (Mridangam), Sumana Chandrashekar (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-29,16:00,"Vignesh Ishwar","(Vocal) - Trivandrum Dr. N. Sampath (Violin), Praveen Sparsh (Mridangam), U. N. Giridhar Udupa (Ghatam)","T.T. Krishnamachari Auditorium"
2025-12-29,18:45,"Abhishek Raghuram","(Vocal) - Kamalakiran Vinjumuri (Violin), Sumesh S. Narayanan (Mridangam), Vazhappally R. Krishnakumar (Ghatam)","T.T. Krishnamachari Auditorium"
