Date,Time,Artist(s),Instruments/Details,Venue
2025-12-28,16:00,Sankari Krishnan - Padma Shankar - Sherthalai R. Ananthakrishnan,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-28,18:30,B. Suchithra,Sangeetha Upanyasam (Chidambara Mahathmiyam - Aarudhra Darisanam),The Mylapore Fine Arts Club
2025-12-29,09:00,Rasika Sivakumar - Visesh Upoor - Srihari Raman,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-29,10:15,Vaishnavi Anand - Bombay V. Anand - Kallidaikuruchi Sivakumar,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-29,16:00,Amritha Murali - V.V.S. Murari - B. Sivaraman,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-29,18:30,Sikkil C. Gurucharan - S.R. Mahadeva Sharma - K.V. Prasad - Vaikom R. Gopalakrishnan,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-30,09:00,Saarang Arun - Srinivas Vadhiraj - Krish Mohan,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-30,10:15,Trichy L. Saravanan - Bombay V Anand - Kallidaikuruchi Sivakumar,Flute & Accompaniments,The Mylapore Fine Arts Club
2025-12-30,16:00,Carnatica Brothers (K.N. Sashikiran & P. Ganesh) - M.A. Sundareswaran - Tiruvarur Vaidyanathan - S. Sunilkumar,Vocal Duet & Accompaniments,The Mylapore Fine Arts Club
2025-12-30,18:30,Jayanthi Kumaresh - B.U. Jayachandra Rao - Pramath Kiran,Veena & Accompaniments,The Mylapore Fine Arts Club
2025-12-31,09:00,Aarya Suri - Visesh Uppoor - Arvind Raman,Vocal & Accompaniments,The Mylapore Fine Arts Club
2025-12-31,10:15,Villianur G. Lalitha - Gopi Lakshminarayan,Veena & Accompaniments,The Mylapore Fine Arts Club
2025-12-31,16:00,K. Gayathri - Vittal Rangan - Sai Giridhar,Vocal & Accompaniments,The Mylapore Fine Arts Club
2026-01-01,09:00,Lalgudi G.J.R. Krishnan & Lalgudi Vijayalakshmi - Trichy S. Sankaran - Dr. Suresh Vaidyanathan,Violin Duet & Accompaniments,The Mylapore Fine Arts Club
2026-01-01,16:00,R. Suryaprakash - S.R. Mahadeva Sharma - Tiruvarur Vaidyanathan,Vocal & Accompaniments,The Mylapore Fine Arts Club
