Date,Time,Artist(s),Instruments/Details,Venue
2025-12-18,18:15,Guru S.P. Sailaja & her disciples of Saila Sudha Academy,Inauguration followed by Thematic dance presentation,"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20"
2025-12-24,18:45,Nirmala Rajasekhar & Ronu Mazumdar,Veena & Flute Jugalbandhi,"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20"
2025-12-25,18:45,Staff & Students of Sri Sathya Sai University for Human Excellence,Nada Gurukulam presents Bhakti Yatra Musical offering (Bhagwan Sri Sathya Sai Baba Centenary),"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20"
2025-12-26,18:45,Temple of Music - Swara Yoga Youth Ensemble,Created by Violin Maestro Ganesh Rajagopalan,"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20"
2025-12-30,17:15,Young NRI Artistes,Youth Cultural Ambassador Awards & Concerts of Awardees,"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20"
2026-01-01,,Guru Anitha Guha's Bharatanjalii,Dance Drama (Preceded by RRC Award of Excellence Presentation),"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20"
2026-01-02,,Differently Abled Artistes,"Maargazhi Matram" Concerts,"Youth Hostel, 2nd Avenue, Indira Nagar, Adyar, Ch-20"
