Date,Time,Artist(s),Instruments/Details,Venue
2026-01-13,18:15,Priyamvadha Krishnakumar,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-13,19:30,"H N Nandhini Suresh, Sri Sai Nrithyalaya",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-14,17:00,Sruthika P Nair,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-14,18:15,D Soumya Sarojini,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-14,19:30,Thiruveezhimizhalai Dr.Kanaka Krishna Prashanth,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-15,17:00,Keerthana Subramanian,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-15,18:15,Sharamada Vishwanath,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-15,19:30,Naatya Padhmam Parvathi Ravi Ghantasala,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-16,17:00,Nivedita Raghavan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-16,18:15,Anand Sachidanandan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-16,19:30,"Saikripa Prasanna, Kripa's centre for Fine Arts",,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-17,17:00,Trinethra Mahesh,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-17,18:15,Sumithra Subramaniam,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-17,19:30,Divya Sena,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-18,17:00,Lekshmi Reghunath,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-18,18:15,KR Mahalakshmi,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-18,19:30,Lakshmi Priya Raja,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-19,17:00,Tejasshri Vivek,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-19,18:15,Bhairavi Venkatesan,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-19,19:30,Divya Ravi,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-20,17:00,Sadhwi Vijayakumar,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-20,18:15,Avijit Das,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-20,19:30,Priya Murle,,TAG DAKSHINAMURTHY HALL MYLAPORE
2026-01-21,17:00,N.RM. Abirami,,TAG DAKSHINAMURTHY HALL MYLAPORE
