Date,Time,Artist(s),Instruments/Details,Venue
2025-12-25,,Dr Chitra Madhavan,Lec Dem Series: Talk on Temples In and Around Nagapattinam,Arkay Convention Center Mylapore
2025-12-25,,J B Keerthana,Vocal,Arkay Convention Center Mylapore
2025-12-26,,Ravi Rajagopal,Presents rare kritis of Dhikitar,Arkay Convention Center Mylapore
2025-12-26,,Gayathri Girish,Vocal,Arkay Convention Center Mylapore
2025-12-27,,Neyveli Santhanagopalan (Moderator); Dr Rajagopalan (CMANA); Dr. Suresh Vaidyanathan; Thanjavur Kumar,Peccu Kutcheri: HASSYAM IN MUSIC,Arkay Convention Center Mylapore
2025-12-28,,Jayachandran,"Talk and demo 'Arul vilayattu': Dance of Siva through the voice of Tirumandiram",Arkay Convention Center Mylapore
2025-12-29,,H Ramakrishnan; Yella Venkateswara Rao; Chitravina N Ravikiran,"'Flute Mali-The Genius' Listening and discussion session",Arkay Convention Center Mylapore
2025-12-30,,Dr Sriram Parasuram,Talk on The Kaanada Parivaara,Arkay Convention Center Mylapore
2025-12-31,,Madhusudhanan Kalaiselvan; Odhuvar Sadgurunathan,Talk on Tirukkovaiyar,Arkay Convention Center Mylapore
